video_path,start_time,end_time,label,orientation
3_output_2.mp4,1,2,整理排线,left
3_output_2.mp4,2,3,整理排线,left
3_output_2.mp4,3,4,整理排线,left
3_output_2.mp4,4,5,整理排线,left
3_output_2.mp4,6,7,取屏蔽罩,left
3_output_2.mp4,8,9,取主机板,left
3_output_2.mp4,14.5,15.5,放屏蔽罩,right
3_output_2.mp4,21,22,放主机板,right
3_output_2.mp4,23,24,涂油扫码,right
3_output_2.mp4,24,25,涂油扫码,right
3_output_2.mp4,25,26,涂油扫码,right
3_output_2.mp4,35,36,打螺丝,left
3_output_2.mp4,36,37,打螺丝,left
3_output_2.mp4,37,38,打螺丝,left
3_output_2.mp4,45,46,插wifi线,left
3_output_2.mp4,46,47,插wifi线,left
3_output_2.mp4,47,48,插wifi线,left
3_output_2.mp4,51,52,插wifi线,left
3_output_2.mp4,52,53,插wifi线,left
3_output_2.mp4,53,54,插wifi线,left
3_output_2.mp4,54,55,插wifi线,left
3_output_2.mp4,55,56,插wifi线,left
3_output_2.mp4,56,57,插wifi线,left
3_output_2.mp4,57,58,插wifi线,left
3_output_2.mp4,58,59,插wifi线,left
3_output_2.mp4,59,60,插wifi线,left
3_output_2.mp4,60,61,插wifi线,left
3_output_2.mp4,63,64,打点1,left
3_output_2.mp4,64,65,打点1,left
3_output_2.mp4,65,66,打点1,left
3_output_2.mp4,69,70,打点2,left
3_output_2.mp4,70,71,打点2,left
3_output_2.mp4,71,72,打点2,left
3_output_2.mp4,72,73,打点2,left
3_output_2.mp4,79,80,结束扫码3,left
3_output_2.mp4,80,81,结束扫码3,left
3_output_3.mp4,2,3,整理排线,left
3_output_3.mp4,3,4,整理排线,left
3_output_3.mp4,4,5,整理排线,left
3_output_3.mp4,5,6,整理排线,left
3_output_3.mp4,8,9,取屏蔽罩,left
3_output_3.mp4,16,17,取主机板,left
3_output_3.mp4,17,18,取主机板,left
3_output_3.mp4,18,19,取主机板,left
3_output_3.mp4,20,21,放屏蔽罩,right
3_output_3.mp4,33,34,放主机板,right
